"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",1196.11616,176.393352662765,825,1087,1190,1300,1570.79988533083,1.44323124582977,12
"N.A[2,1]",1139.9664,170.715924411378,879.199795516448,1019,1116,1230,1564.79988489085,1.33627688453076,15
"N.A[3,1]",524.83936,83.8467013124137,342,474,531,579,677.899933566253,1.55089871296493,11
"N.A[4,1]",845.93824,107.398767330795,656,769,840,915,1080.69962468707,1.02686368590777,410
"N.A[5,1]",444.58016,78.0965356236424,318,390,436,490,622.899927695346,1.28514766677412,16
"N.A[6,1]",1002.13792,124.060373086849,750.099940050618,921,998,1086,1253,1.13773707231732,34
"N.A[7,1]",1227.1024,219.992628231749,939,1082,1170,1309,1811.59960209258,1.76823810833819,9
"N.A[8,1]",76.71552,20.5944787151007,43,61,74,89,124,1.03743633204539,86
"N.A[9,1]",339.63488,82.9718424039614,184,289,346,394,497,2.39858223425569,7
"N.A[10,1]",308.32768,48.4637437766117,220,275,306,338,413,1.16081467780574,25
"N.A[11,1]",124.8496,28.4529359135375,78,105,122,142,190,1.13411836663459,28
"N.A[12,1]",501.53184,62.9055500003384,386,458,500,541,634.899929063097,1.09390916815788,37
"N.A[13,1]",405.93408,119.158832149711,264.099829953253,328,370,440,713,2.3618040775193,7
"N.A[14,1]",1021.84384,175.206994641096,640.099929757001,920,1025,1134,1361,1.94668113768116,8
"N.A[15,1]",934.45088,266.122590062864,650,760,852,983,1678.2986832401,2.73287013794533,6
"N.A[16,1]",296.7008,72.074912231035,167,249,295,339,454,2.11611328802436,7
"N.A[17,1]",618.0528,94.9398662163746,469,551,606,672,837,1.21545907391335,23
"N.A[18,1]",611.26016,84.229534210947,464,550,606,668,787,1.11436064151517,32
"N.A[19,1]",1026.56224,155.662403865079,760.099940838769,912,1011,1127,1349,1.98645790455476,8
"N.A[20,1]",605.39296,100.98340313985,407,536,606,673,797,1.7818585236696,9
"N.A[21,1]",278.49504,96.4136700164636,170,212,251,311,542.899917030283,2.28715770881458,7
"N.A[22,1]",1340.98016,205.874289404351,1016.09995573625,1186,1310,1483,1787.69977324894,1.50142832400089,11
"N.A[23,1]",637.23136,121.187875602026,469,557,612,693,963,1.38697624544842,14
"N.A[24,1]",795.06272,103.249721683937,627.099928302077,721,783,857,1030,1.13150159521398,29
"N.A[25,1]",821.96576,114.621697729406,638,740,809,887,1090.79983482194,1.19065235701232,23
"N.A[1,2]",444.90752,74.0468850704063,305,395,441,492,596.899924543054,1.31135856103518,15
"N.A[2,2]",667.6432,106.975916564019,501,590,655,728,923.899951265294,1.2838640652999,16
"N.A[3,2]",227.5216,43.4340191316177,144.099688867539,198,228,256,313,1.32192124061535,15
"N.A[4,2]",712.66688,93.5237482800126,548.199672290074,647,705,772,919,1.03206659374227,220
"N.A[5,2]",369.27328,66.6074234126706,262,322,361,410,520.79965366825,1.31052266955163,15
"N.A[6,2]",470.96096,67.8205841762113,344,425,468,514,610.899926273813,1.0807938487012,52
"N.A[7,2]",794.80608,149.771614956775,592,695,760,855,1178.89996181155,1.67784708278215,9
"N.A[8,2]",38.39424,13.8661783311366,17.0974475355485,28,36,46,70,1.01895973222251,160
"N.A[9,2]",455.03136,108.75823210004,254.099823275139,388,463,528,663,2.42342105665142,7
"N.A[10,2]",212.30272,38.6578346214378,146,185,209,235,298,1.13656288961611,28
"N.A[11,2]",357.87936,58.0006057595635,265,316,351,393,488.899907856097,1.25438550915336,18
"N.A[12,2]",437.73664,57.361954355904,337,398,433,473,562,1.09122023610439,38
"N.A[13,2]",273.08352,81.944019962289,173,217,250,304,491.899908418674,2.10529717398402,7
"N.A[14,2]",650.09056,118.784671293435,399.09988739674,578,652,724,889.899949402192,1.84418038242831,8
"N.A[15,2]",417.88608,122.715484316621,277,338,380,449,749.899939949284,2.24916174354147,7
"N.A[16,2]",239.6832,60.3974309855501,135,198,236,276,375.899880117169,1.97242089713345,8
"N.A[17,2]",462.82656,76.3452339631365,343,409,453,504,639.899929617841,1.1927040147667,25
"N.A[18,2]",341.72096,53.3477066946412,250,303,338,376,455,1.07792047138473,45
"N.A[19,2]",388.67104,66.7239661093934,273,340,383,431,528,1.64733552842555,9
"N.A[20,2]",460.40288,80.1852204709311,307,405,460,513,620.899927462243,1.75802424484718,9
"N.A[21,2]",225.51648,80.3021072295476,132,172,203,255,438.799588790242,2.16362571893267,7
"N.A[22,2]",522.84672,87.1650559816063,382,457,512,580,715,1.39794800602118,13
"N.A[23,2]",517.91328,99.6579160112893,378.099881151462,449,499,564,788.899942919956,1.35958663062537,15
"N.A[24,2]",378.11328,55.658069588056,285.09984245525,337,372,414,500,1.06929712039253,50
"N.A[25,2]",487.54048,75.9942929685513,367.099877595378,434,478,531,668,1.15791070660013,27
"N.A[1,3]",724.84224,114.798450036158,493.19963582377,650,720,795,968.899953529997,1.37810877767757,14
"N.A[2,3]",821.16,126.717491544191,623,731,808,888,1129.69964098913,1.29528942532183,16
"N.A[3,3]",396.89824,67.1567567300137,259,355,399,441,525,1.49010392033861,12
"N.A[4,3]",502.00032,71.9360689450187,380,450,498,546,656,1.02224555974989,320
"N.A[5,3]",349.024,61.2744220824358,248,303,344,388,484,1.25671843001062,17
"N.A[6,3]",716.48544,92.7374527537404,531,654,715,778,901.899950075807,1.12058885993368,37
"N.A[7,3]",961.21728,176.663168174349,729.099938325179,840,919,1027,1423.89996838482,1.73554837553538,9
"N.A[8,3]",44.3312,14.9813393102489,21,34,42,53,79,1.01685806206385,180
"N.A[9,3]",389.26464,94.4241902402939,212.099788367811,331,398,450,568.899920825744,2.49003690699274,7
"N.A[10,3]",213.68256,37.359592454601,149,187,210,238,292,1.13289422874833,29
"N.A[11,3]",238.74112,45.4339707682426,167,206,233,263,342,1.23383949394706,19
"N.A[12,3]",417.15616,55.9955463804312,320,378,414,453,536,1.08535848372913,40
"N.A[13,3]",304.3168,92.489453958113,192,242,276,333,540.899916723196,2.260671447295,7
"N.A[14,3]",761.61344,134.582377986998,474.099905189947,679,767,847,1028,1.88877114761794,8
"N.A[15,3]",572.74048,165.365379920375,390.099884802414,465,521,611,1029.39842135723,2.42309705384308,7
"N.A[16,3]",243.51616,60.4504390442303,137,204,240,279,384,1.9634089583469,8
"N.A[17,3]",343.43008,60.7172029690865,245,300,335,379,483,1.15827087301351,28
"N.A[18,3]",381.8304,58.182585230219,280,340,378,418,506.899911131571,1.08631319842432,41
"N.A[19,3]",543.19104,87.4334957604709,393.09988568037,478,537,600,729,1.76512614710351,9
"N.A[20,3]",500.24,84.4852758993543,336.09986632333,443,499,559,662.799727986961,1.77101834815312,9
"N.A[21,3]",187.55584,66.1780895353247,107,143,169,213,365,1.99881374258368,8
"N.A[22,3]",807.76544,130.652140341346,603,708,790,901,1085,1.42752878372453,12
"N.A[23,3]",379.96928,77.6090184669331,271,328,365,415,593,1.3301465728201,16
"N.A[24,3]",635.77216,82.8634851018628,497,575,627,689,821.699506157402,1.1106269019466,33
"N.A[25,3]",579.5632,86.7029322068466,440,517,570,631,780.799769151759,1.18059322438027,24
"N.A[1,4]",418.17568,71.5505573064101,280.099839648296,372,416,461,570.89992110337,1.36269014640178,14
"N.A[2,4]",730.51616,116.648887723015,550,646,718,794,1010,1.28845364122789,16
"N.A[3,4]",306.26816,54.4781296258307,196.099771147308,271,307,343,413,1.40751423715492,13
"N.A[4,4]",518.43392,73.1473387352274,391,465,514,563,675.89993336952,1.02501310548001,320
"N.A[5,4]",262.66624,49.527869805054,182,228,258,293,376,1.22723797762394,19
"N.A[6,4]",515.32992,73.7756462764531,373,466,513,562,667,1.10361208520246,43
"N.A[7,4]",661.21312,124.790764782726,492,576,633,716,986,1.66096797934967,10
"N.A[8,4]",27.57344,11.6008410044377,11,19,26,34,54,1.01353011728333,230
"N.A[9,4]",238.87648,62.3743816251849,127,195,240,280,366,2.08165489967616,7
"N.A[10,4]",113.73376,25.4223258288965,72,96,111,129,171,1.07723950480674,45
"N.A[11,4]",291.90496,51.2169970346728,207,256,287,322,409.89989007406,1.23635215087752,19
"N.A[12,4]",320.8768,47.2623428858284,239,286,317,352,416,1.06015273841616,55
"N.A[13,4]",272.50592,83.6862110934071,168,217,250,297,495.899909158179,2.13183430150924,7
"N.A[14,4]",472.91232,88.7614052394216,292,419,473,526,662.89993206179,1.78365053962084,9
"N.A[15,4]",419.85728,124.269767614844,279,337,383,450,763,2.32531307694781,7
"N.A[16,4]",165.41952,44.3545509203909,89,135,162,192,267,1.8297073947205,8
"N.A[17,4]",322.55424,55.7221478813141,232,283,317,355,450,1.1336195050788,34
"N.A[18,4]",252.25344,44.0018888385173,177,222,248,279,351,1.06214009642035,54
"N.A[19,4]",366.45216,63.392448005444,258,320,362,408,503,1.56792792905869,10
"N.A[20,4]",357.58752,64.3892097385536,234,313,356,400,491,1.6709951320628,9
"N.A[21,4]",167.02016,61.296089116252,93,126,151,191,327,1.93399418191704,8
"N.A[22,4]",509.56672,83.8242806807892,372.099879237806,448,498,564,692,1.39100314699973,13
"N.A[23,4]",445.49408,90.9070826515183,318,385,428,487,690,1.34522629479499,16
"N.A[24,4]",431.70944,61.9210914453827,329,386,425,470,570.799684062494,1.07828189175725,44
"N.A[25,4]",420.02912,67.0884102178385,311,372,412,459,570.89992110337,1.15148879248349,28
"N.A[1,5]",456.28128,75.4348973430566,304,409,454,502,617.899927109756,1.3160966037727,16
"N.A[2,5]",779.02752,121.289269725206,598,692,762,843,1062.69961832043,1.29082533059383,16
"N.A[3,5]",303.49376,54.3168819487559,192,269,304,340,407,1.4580553700427,12
"N.A[4,5]",415.67296,62.653018227857,304,371,410,456,548,1.01973874040183,250
"N.A[5,5]",242.47936,49.7055475702397,160,208,238,270,353,1.2432813578172,18
"N.A[6,5]",476.17824,67.2190309205669,348.099870924501,430,475,520,612,1.10445565187803,41
"N.A[7,5]",955.8592,173.577857869711,725.099937985202,836,914,1028,1418.89996827336,1.68764451568812,9
"N.A[8,5]",27.576,11.4674175180225,10,19,26,34,55,1.0064074938156,490
"N.A[9,5]",238.12032,60.2768122681409,128.099650167209,197,241,279,357,2.15009809052848,7
"N.A[10,5]",108.75168,24.2418149107375,67,92,107,123,163,1.07769462623086,45
"N.A[11,5]",243.81952,43.7155139709161,170,214,240,269,346.799479366517,1.18856287454996,22
"N.A[12,5]",332.43904,46.9839023469094,248,299,329,363,432,1.06203123876862,55
"N.A[13,5]",259.56864,79.8300862971313,164,207,238,284,478.899905929876,2.09112957699245,7
"N.A[14,5]",420.91936,81.6264595485918,261,369,421,472,587,1.70696381564213,9
"N.A[15,5]",376.51136,114.507542213,246,299,343,409,685.899934341707,2.24812316781525,7
"N.A[16,5]",176.46816,46.9285153994118,96,144,173,205,282,1.8257216397001,8
"N.A[17,5]",300.94592,54.5756293150564,216,261,295,331,426,1.15457388977748,28
"N.A[18,5]",274.40768,47.1648721515327,196,240,270,304,378.899881067699,1.09686310532262,37
"N.A[19,5]",345.95968,60.2040356005013,242.099814534781,303,342,384,477,1.57966168875131,10
"N.A[20,5]",433.87136,75.4697544091418,294,380,432,484,585,1.71786589357895,9
"N.A[21,5]",101.6784,39.7590203971997,52,75,91,118,204,1.68422495494116,9
"N.A[22,5]",641.81216,104.162639895072,479,562,629,712,869.899948238178,1.40652566034029,12
"N.A[23,5]",384.45344,77.1203776508783,275,332,371,417,590.899923776172,1.34008810414239,16
"N.A[24,5]",437.36992,63.109132486722,333,393,430,476,580,1.09599373870797,37
"N.A[25,5]",502.8096,77.602601762158,377,447,492,550,680,1.1535742783268,27
"N.A[1,6]",361.3824,63.8079204681412,242.099814534781,319,358,402,495,1.27658679143502,17
"N.A[2,6]",716.86688,112.354388084278,539.099916610028,638,703,778,993.699591774807,1.27143122308689,17
"N.A[3,6]",307.03712,54.2324739773172,195,273,308,342,414.899891400494,1.40632250946116,13
"N.A[4,6]",372.08256,56.9989405620707,272,331,368,408,494.899908974424,1.01811270972621,370
"N.A[5,6]",253.31392,49.4614564448841,171,219,247,282,364.899876497979,1.2106516893813,20
"N.A[6,6]",417.58848,63.0095433732665,298,375,415,458,548,1.11157549884413,41
"N.A[7,6]",874.9248,167.28249712325,659,762,834,938,1313.89996573691,1.75690940881511,9
"N.A[8,6]",55.07264,17.5711878470396,28,43,53,65,97,1.01872642515346,170
"N.A[9,6]",257.90464,64.5233721332578,140.099680018022,216,260,300,385,2.15187933419457,7
"N.A[10,6]",73.296,19.1459218953821,42,60,71,85,116,1.05175881807389,65
"N.A[11,6]",206.1808,39.613347509347,142,178,201,230,294,1.19094589475461,22
"N.A[12,6]",369.93536,52.6480868066885,282,332,365,404,486,1.06839364096581,49
"N.A[13,6]",222.58272,70.9016917525067,135,175,204,246,417,2.00435037945562,8
"N.A[14,6]",415.05664,80.1987627161641,255,363,414,467,579.899922328966,1.69775767587753,9
"N.A[15,6]",301.33984,90.6702865389204,192,242,276,329,540.899916723196,2.0292462118865,8
"N.A[16,6]",143.79328,38.3716263531855,78,116,143,167,230.899804659025,1.68305507113684,9
"N.A[17,6]",234.29408,44.2989955334801,162,203,229,260,335.899865818438,1.11592980207351,36
"N.A[18,6]",149.77792,30.7017470447613,98,128,147,168,217,1.03191855742819,100
"N.A[19,6]",272.41056,50.9348654248882,186,235,269,305,382.89988231187,1.50368190313236,11
"N.A[20,6]",398.56416,71.5648269146151,264.099829953253,348,397,445,542,1.68652226628663,9
"N.A[21,6]",76.37728,30.5378597691942,36,56,70,90,155,1.51548336992297,11
"N.A[22,6]",436.86272,75.3866858468427,313.099856520268,381,427,488,598,1.32763855726007,14
"N.A[23,6]",246.58272,54.9298233090004,169,207,237,273,390,1.2719981116352,18
"N.A[24,6]",432.56512,61.4906486495665,331,387,428,470,569.899920964801,1.08880954470291,40
"N.A[25,6]",371.3904,59.9600531553451,273,328,365,408,511,1.14285045390685,28
"N.A[1,7]",327.696,58.6425214882894,220,289,326,361,455.89990117851,1.26184952560228,17
"N.A[2,7]",620.50912,101.408494591497,461,549,608,678,852,1.26668053180282,17
"N.A[3,7]",249.96384,45.8977908701559,157,221,250,280,341,1.3906206936963,14
"N.A[4,7]",347.94784,54.7673010623986,253,310,343,382,465,1.01633666409062,470
"N.A[5,7]",185.09152,39.1142807771922,124,157,180,208,275,1.17325175028827,23
